nms_pre,min_bbox_size,score_thr,max_per_img,network,avg_time,precision,recall, F1;
100,0,0.5,50,rtmdet_m_8xb32-300e_coco.py,0.02287146137721503,0.7191111111111111,0.42333856619570903,0.5329380764163373;
100,0,0.5,50,rtmdet_s_8xb32-300e_coco.py,0.018562920333803162,0.7927308447937131,0.42229199372056514,0.5510413110276544;
100,0,0.5,50,rtmdet_tiny_8xb32-300e_coco.py,0.017779371568134854,0.7851959361393324,0.28309785452642594,0.41615384615384615;
100,10,0.1,10,rtmdet_x_8xb32-300e_coco.py,0.05730902842986278,0.7106413994169096,0.5102040816326531,0.5939689308559245;
100,10,0.1,10,rtmdet_l_8xb32-300e_coco.py,0.036193924130133864,0.7193605683836589,0.423861852433281,0.5334211392821864;
100,10,0.1,10,rtmdet_m_8xb32-300e_coco.py,0.023004280097449002,0.7316849816849816,0.4181057038199895,0.5321345321345322;
100,10,0.1,10,rtmdet_s_8xb32-300e_coco.py,0.01890584202699883,0.794383149448345,0.41444270015698587,0.5447042640990372;
100,10,0.1,10,rtmdet_tiny_8xb32-300e_coco.py,0.018037876912525723,0.7868613138686131,0.28205128205128205,0.41525423728813554;
100,10,0.1,25,rtmdet_x_8xb32-300e_coco.py,0.057501094245211985,0.7030386740331491,0.532705389848247,0.6061327776123846;
100,10,0.1,25,rtmdet_l_8xb32-300e_coco.py,0.036145521559805244,0.7129228100607112,0.4301412872841444,0.5365535248041775;
100,10,0.1,25,rtmdet_m_8xb32-300e_coco.py,0.022902267192726703,0.7197508896797153,0.42333856619570903,0.5331136738056014;
100,10,0.1,25,rtmdet_s_8xb32-300e_coco.py,0.0188291072845459,0.7927308447937131,0.42229199372056514,0.5510413110276544;
100,10,0.1,25,rtmdet_tiny_8xb32-300e_coco.py,0.018032845641885484,0.7851959361393324,0.28309785452642594,0.41615384615384615;
100,10,0.1,50,rtmdet_x_8xb32-300e_coco.py,0.057182811555408296,0.7030386740331491,0.532705389848247,0.6061327776123846;
100,10,0.1,50,rtmdet_l_8xb32-300e_coco.py,0.03602064330622835,0.7129228100607112,0.4301412872841444,0.5365535248041775;
100,10,0.1,50,rtmdet_m_8xb32-300e_coco.py,0.022861408653543955,0.7197508896797153,0.42333856619570903,0.5331136738056014;
100,10,0.1,50,rtmdet_s_8xb32-300e_coco.py,0.01882514011028201,0.7927308447937131,0.42229199372056514,0.5510413110276544;
100,10,0.1,50,rtmdet_tiny_8xb32-300e_coco.py,0.018118664622306824,0.7851959361393324,0.28309785452642594,0.41615384615384615;
100,10,0.3,10,rtmdet_x_8xb32-300e_coco.py,0.057208425396091334,0.7106413994169096,0.5102040816326531,0.5939689308559245;
100,10,0.3,10,rtmdet_l_8xb32-300e_coco.py,0.036324887905480725,0.7193605683836589,0.423861852433281,0.5334211392821864;
100,10,0.3,10,rtmdet_m_8xb32-300e_coco.py,0.02282945967432278,0.7316849816849816,0.4181057038199895,0.5321345321345322;
100,10,0.3,10,rtmdet_s_8xb32-300e_coco.py,0.018902649251065513,0.794383149448345,0.41444270015698587,0.5447042640990372;
100,10,0.3,10,rtmdet_tiny_8xb32-300e_coco.py,0.017932507608618056,0.7868613138686131,0.28205128205128205,0.41525423728813554;
100,10,0.3,25,rtmdet_x_8xb32-300e_coco.py,0.05738876154134562,0.7030386740331491,0.532705389848247,0.6061327776123846;
100,10,0.3,25,rtmdet_l_8xb32-300e_coco.py,0.03620893550368975,0.7129228100607112,0.4301412872841444,0.5365535248041775;
100,10,0.3,25,rtmdet_m_8xb32-300e_coco.py,0.022842602053684973,0.7197508896797153,0.42333856619570903,0.5331136738056014;
100,10,0.3,25,rtmdet_s_8xb32-300e_coco.py,0.018775036168652913,0.7927308447937131,0.42229199372056514,0.5510413110276544;
100,10,0.3,25,rtmdet_tiny_8xb32-300e_coco.py,0.018399517451013838,0.7851959361393324,0.28309785452642594,0.41615384615384615;
100,10,0.3,50,rtmdet_x_8xb32-300e_coco.py,0.05735388430920276,0.7030386740331491,0.532705389848247,0.6061327776123846;
